"C"|No |No |"Clay"|"65682800"|"132365431"
"SICL"|No |No |"Silty clay loam"|"65682800"|"132365430"
"CL"|No |No |"Clay loam"|"65682800"|"132365429"
"LFS"|No |Yes|"Loamy fine sand"|"65682906"|"132365801"
"S"|No |No |"Sand"|"65682906"|"132365800"
"FS"|No |No |"Fine sand"|"65682906"|"132365799"
"LS"|No |No |"Loamy sand"|"65682906"|"132365798"
"SCL"|No |Yes|"Sandy clay loam"|"65682915"|"132365826"
"SC"|No |No |"Sandy clay"|"65682915"|"132365827"
"C"|No |No |"Clay"|"65682915"|"132365828"
"SL"|No |No |"Sandy loam"|"65682915"|"132365829"
"SIC"|No |Yes|"Silty clay"|"65682821"|"132365498"
"C"|No |No |"Clay"|"65682821"|"132365497"
"SICL"|No |No |"Silty clay loam"|"65682821"|"132365496"
"CL"|No |No |"Clay loam"|"65682821"|"132365495"
"SIL"|No |Yes|"Silt loam"|"65682822"|"132365500"
"L"|No |No |"Loam"|"65682822"|"132365499"
"FSL"|No |Yes|"Fine sandy loam"|"65682937"|"132365911"
"LFS"|No |No |"Loamy fine sand"|"65682937"|"132365912"
"SL"|No |No |"Sandy loam"|"65682811"|"132365470"
"FSL"|No |Yes|"Fine sandy loam"|"65682811"|"132365469"
"L"|No |No |"Loam"|"65682811"|"132365468"
"CL"|No |No |"Clay loam"|"65682884"|"132365728"
"SCL"|No |No |"Sandy clay loam"|"65682884"|"132365727"
"GR-LS"|No |Yes|"Gravelly loamy sand"|"65682884"|"132365726"
"SL"|No |No |"Sandy loam"|"65682884"|"132365725"
"L"|No |No |"Loam"|"65682884"|"132365724"
"SR- LS GR-LS"|Yes|No |"Stratified loamy sand to gravelly loamy sand"|"65682884"|"132365723"
"C"|No |Yes|"Clay"|"65682853"|"132365614"
"SIC"|No |No |"Silty clay"|"65682853"|"132365613"
"CL"|No |No |"Clay loam"|"65682853"|"132365612"
"SICL"|No |No |"Silty clay loam"|"65682853"|"132365611"
"LS"|No |No |"Loamy sand"|"65682832"|"132365536"
"C"|No |No |"Clay"|"65682832"|"132365535"
"SC"|No |No |"Sandy clay"|"65682832"|"132365534"
"SL"|No |No |"Sandy loam"|"65682832"|"132365533"
"SCL"|No |Yes|"Sandy clay loam"|"65682832"|"132365532"
"SL"|No |No |"Sandy loam"|"65682905"|"132365797"
"FSL"|No |Yes|"Fine sandy loam"|"65682905"|"132365796"
"L"|No |No |"Loam"|"65682905"|"132365795"
"LFS"|No |No |"Loamy fine sand"|"65682810"|"132365467"
"FSL"|No |Yes|"Fine sandy loam"|"65682810"|"132365466"
"L"|No |No |"Loam"|"65682926"|"132365870"
"FSL"|No |Yes|"Fine sandy loam"|"65682926"|"132365871"
"SL"|No |No |"Sandy loam"|"65682926"|"132365872"
"L"|No |No |"Loam"|"65682895"|"132365767"
"SCL"|No |No |"Sandy clay loam"|"65682895"|"132365766"
"FSL"|No |Yes|"Fine sandy loam"|"65682895"|"132365765"
"S"|No |No |"Sand"|"65682831"|"132365531"
"LS"|No |Yes|"Loamy sand"|"65682831"|"132365530"
